OBJECTID,SITE_ID,PRIMARYSP,STATUS,LEASE_TYPE,LEASEHOLDE,CONTACT,LOCATION,WATERBODY,CITY,COUNTY,EXPIRATION,GlobalID,Acres,created_user,created_date,last_edited_user,last_edited_date,decision_url,SHAPEarea,SHAPElen
1,COB BC,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Broad Cove,Cobscook Bay,Eastport,Washington,2026/12/11 05:00:00+00,{3DDA125A-BE01-48AA-B9BB-4F19E25E1ACA},44.95045931,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FinalDecision.pdf,181908.054929974,1815.94066515557
2,YORK YR,American oysters,T,S,York Harbor Oyster,Kevin Tacy, ,York River,York,York,2009/12/31 05:00:00+00,{A63CB38D-F7B6-472A-B29B-83F6122A14FA},3.99917865,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,16184.101802081,588.42816634414
3,EASTW MR,Blue mussels,T,S,"Wood, John",John D. Wood,Moosabec Reach, ,Beals,Washington,2010/05/25 05:00:00+00,{BCEF9BF2-CC38-44C4-B5FD-6D4CAE27274E},3.96567628,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,16048.522520699,508.951217758093
4,FREN PI2,Blue mussels,T,S,"West, James",James West,South of Preble Island,Frenchman Bay,Sorrento,Hancock,2012/03/21 05:00:00+00,{7717928C-954A-423E-930E-263105ECB9F3},35.63832944,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,144223.202396279,1552.47033396858
5,PEN LD2,American oysters,A,S,"DLW Enterprises, Inc.",Danny Weed,Long Cove,Penobscot Bay,Deer Isle,Hancock,2023/02/20 05:00:00+00,{64E628DC-1136-4757-BD86-D09D9B1C5AC7},0.61979396,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/EXECUTED2016DecisionPENLD2.pdf,2508.21717572242,238.933435509918
6,PEN LD3,Oysters/mussels/seaweed/scallops,A,S,"Barrows, Abigail",Abigail Barrows,Long Cove,Penobscot Bay,Deer Isle,Hancock,2023/02/20 05:00:00+00,{BFA727FF-01B3-4CBB-9F07-D180836DA8D3},2.31697097,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionExecuted.pdf,9376.44886907255,611.139437928555
7,WES UR,American oysters,P,S,Weskeag River Shellfish Farms LLC.,Ralph Hamill, ,Weskeag River,South Thomaston,Knox,2020/10/04 05:00:00+00,{140BB3F2-1132-406F-8216-671F95DACF7D},6.03605829,,1970/01/01 00:00:00+00,MEDMR,2020/10/08 23:38:30+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/EXECUTEDDecisionWESUR.pdf,24427.0612605999,1745.31710916001
8,WES UR,American oysters,P,S,Weskeag River Shellfish Farms LLC.,Ralph Hamill, ,Weskeag River,South Thomaston,Knox,2020/10/04 05:00:00+00,{0FB97E4B-16E0-487F-BAD2-837144FE2021},1.15499268,,1970/01/01 00:00:00+00,MEDMR,2020/10/08 23:38:32+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/EXECUTEDDecisionWESUR.pdf,4674.08956049625,737.840609475053
9,LIT CW,American oysters,T,S,"Thompson, Paul",Paul Thompson,Cutler Harbor,Little River,Cutler,Washington,2008/04/03 05:00:00+00,{DD37B8A0-DE5A-4F03-90E3-A4FD1E99189C},9.07974808,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,36744.4368307218,1073.99409482513
11,TAUN HB,American oysters,T,S,Taunton Bay Oyster Company Inc.,Michael Briggs, ,Taunton and Hog Bays,Franklin,Hancock,2013/09/09 05:00:00+00,{07F588E4-7CA0-49EB-91C3-AB4D5396B44B},1.22032683,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,4938.48747287251,325.297921563557
12,EAST OP,Blue mussels,A,S,"Moosabec Mussels, Inc.",Ralph Smith,Old Point,Jordan River,Lamoine,Hancock,2021/07/09 05:00:00+00,{6AD68AE6-6857-4521-B40A-26346FDB1CA6},89.70195401,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/EXECUTEDDecisionEASTOP.pdf,363010.928697763,2674.69364929393
